Vertex1,Vertex2,Type,Date,Text,Link,Likes,Quotes,Retweets,Comments
@Ubisoft,https://twitter.com/Ubisoft/status/1780977330250228222#m,Posted,"Apr 18, 2024 · 3:10 PM UTC",Play #GhostReconWildlands and over 100 games with Ubisoft+ on PC https://ubi.li/xa7ox,https://twitter.com/Ubisoft/status/1780977330250228222#m,74,0,4,22
@Ubisoft,https://twitter.com/Ubisoft/status/1780972276428464545#m,Posted,"Apr 18, 2024 · 2:50 PM UTC",you and who?,https://twitter.com/Ubisoft/status/1780972276428464545#m,876,12,48,194
@Ubisoft,https://twitter.com/Ubisoft/status/1780619194888765616#m,Posted,"Apr 17, 2024 · 3:27 PM UTC",Preach 🥵 #FarCry5,https://twitter.com/Ubisoft/status/1780619194888765616#m,1202,27,109,106
@ANNO_EN,https://twitter.com/ANNO_EN/status/1780264957986107846#m,Posted,"Apr 16, 2024 · 4:00 PM UTC","Today we celebrate the 5th anniversary of #Anno1800 ! Thank you for 5 years full of city-building! To celebrate, let's take a look at the journey of #Anno1800 alongside the Ubisoft Mainz team.",https://twitter.com/ANNO_EN/status/1780264957986107846#m,316,9,28,28
@ANNO_EN,@originaluser,Retweet,"Apr 16, 2024 · 4:00 PM UTC","Today we celebrate the 5th anniversary of #Anno1800 ! Thank you for 5 years full of city-building! To celebrate, let's take a look at the journey of #Anno1800 alongside the Ubisoft Mainz team.",https://twitter.com/ANNO_EN/status/1780264957986107846#m,,,,
@PlayXDefiant,https://twitter.com/PlayXDefiant/status/1780280054309593328#m,Posted,"Apr 16, 2024 · 5:00 PM UTC","Get ready for our Server Test Session! 📅 - April 19-21 ⏰ - Starts 10:00AM PT 🎮 - PC, XBOX S | X, PS5 💥 PRELOAD NOW! 💥 🔗 - https://xdefiant.com/server-test-session",https://twitter.com/PlayXDefiant/status/1780280054309593328#m,14759,1428,2920,1417
@PlayXDefiant,@originaluser,Retweet,"Apr 16, 2024 · 5:00 PM UTC","Get ready for our Server Test Session! 📅 - April 19-21 ⏰ - Starts 10:00AM PT 🎮 - PC, XBOX S | X, PS5 💥 PRELOAD NOW! 💥 🔗 - https://xdefiant.com/server-test-session",https://twitter.com/PlayXDefiant/status/1780280054309593328#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1780266352835539184#m,Posted,"Apr 16, 2024 · 4:05 PM UTC",Play the @AssassinsCreed Mirage free trial now!   Experience the first 2 hours of the game FREE until April 30 and keep your progression when you buy. Try it now: assassinscreed.com/mirage/fr…,https://twitter.com/Ubisoft/status/1780266352835539184#m,841,31,129,144
@ANNO_EN,https://twitter.com/ANNO_EN/status/1780248535616700594#m,Posted,"Apr 16, 2024 · 2:55 PM UTC",We're live with the birthday stream!   Join us with special guest Laura and a mystery guest on Twitch to talk Art in Anno 1800 and have a first look at the Steampunk CDLC. ➡️ twitch.tv/ubisoftbluebyte,https://twitter.com/ANNO_EN/status/1780248535616700594#m,105,2,5,10
@ANNO_EN,@originaluser,Retweet,"Apr 16, 2024 · 2:55 PM UTC",We're live with the birthday stream!   Join us with special guest Laura and a mystery guest on Twitch to talk Art in Anno 1800 and have a first look at the Steampunk CDLC. ➡️ twitch.tv/ubisoftbluebyte,https://twitter.com/ANNO_EN/status/1780248535616700594#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1779897235582403020#m,Posted,"Apr 15, 2024 · 3:39 PM UTC",Comment like you're Vaas and describe your favorite meal,https://twitter.com/Ubisoft/status/1779897235582403020#m,330,3,13,157
@Ubisoft,https://twitter.com/Ubisoft/status/1778428433476813209#m,Posted,"Apr 11, 2024 · 2:22 PM UTC",Ratonhnhaké:ton 🦅  #AssassinsCreed3,https://twitter.com/Ubisoft/status/1778428433476813209#m,4346,31,307,200
@Ubisoft,https://twitter.com/Ubisoft/status/1778117426011344969#m,Posted,"Apr 10, 2024 · 5:46 PM UTC","Going Rogue ⚔ Discover The Rogue @PrinceofPersia, developed by @Studio_Evil  Early-Access available on Steam May 14! 👉https://ubi.li/IK69U",https://twitter.com/Ubisoft/status/1778117426011344969#m,1559,126,270,109
@Ubisoft,https://twitter.com/Ubisoft/status/1777733461824176559#m,Posted,"Apr 9, 2024 · 4:21 PM UTC",Pre-order the Gold or Ultimate Edition for early access: https://ubi.li/XKHPA,https://twitter.com/Ubisoft/status/1777733461824176559#m,185,5,17,250
